date,trend,open,close,high,low,volume,onedaychgnet,twochgnet,twohmovavg,fiftydaymovavg,onehmovavg,twentydmovavg,thirtydaymovavg,tendaymoveavg,fivedaymovavg,sixtydaymovavg,fortydaymovavg,onehtwentymovavg,volatilitytenday,twohvolatility,bac,bmo,rbc,td,sptsx,spx,sh,nikkei,hs,oil,brasil,usdcad,usdcny,usdjpy
01/11/1996,0,7.5625,7.625,7.625,7.5313,1987608,0.0625,0,7.2197,7.4413,7.3034,7.5078,7.4802,7.6031,7.6375,7.3677,7.4727,7.2776,12.479,15.321,16.4063,15.75,7.8125,6,4771.21,602.69,545.64,20377.92,10429.82,18.79,4748.68,1.3627,8.3204,104.82
01/12/1996,0,7.6875,7.6563,7.6875,7.625,3795428,0.03125,0.0938,7.2238,7.45,7.3081,7.5234,7.4927,7.6188,7.6313,7.3729,7.4766,7.2823,11.965,15.326,16.5313,15.875,7.8125,6.0625,4753.01,601.81,547.11,20287.42,10540.01,18.25,4846.59,1.3632,8.3204,105.25
1/13/1996,0,7.6875,7.6563,7.6875,7.625,3795428,0.03125,0.0938,7.2238,7.45,7.3081,7.5234,7.4927,7.6188,7.6313,7.3729,7.4766,7.2823,11.965,15.326,16.5313,15.875,7.8125,6.0625,4753.01,601.81,547.11,20287.42,10540.01,18.25,4846.59,1.3632,8.3204,105.25
1/14/1996,0,7.6875,7.6563,7.6875,7.625,3795428,0.03125,0.0938,7.2238,7.45,7.3081,7.5234,7.4927,7.6188,7.6313,7.3729,7.4766,7.2823,11.965,15.326,16.5313,15.875,7.8125,6.0625,4753.01,601.81,547.11,20287.42,10540.01,18.25,4846.59,1.3632,8.3204,105.25
1/15/1996,0,7.6875,7.6875,7.75,7.6563,2155660,0.03125,0.0625,7.2283,7.46,7.3134,7.5391,7.5083,7.6406,7.6313,7.3786,7.482,7.287,10.511,15.319,16.4063,16,7.8438,6.125,4739.7,599.82,551.04,20287.42,10634.5,18.38,4895.44,1.3625,8.3208,105.33
1/16/1996,0,7.75,7.875,7.875,7.75,4882456,0.1875,0.2188,7.2338,7.4719,7.32,7.5641,7.5292,7.6719,7.6813,7.3901,7.4922,7.2935,15.79,15.46,16.5,16.125,8.0313,6.25,4765.99,608.44,547.76,20567.07,10671.15,18.05,4846.78,1.3689,8.3204,106.09
1/17/1996,0,7.8438,7.9375,8,7.8438,6495140,0.0625,0.25,7.2397,7.4838,7.3259,7.5938,7.5479,7.7031,7.7563,7.4052,7.5031,7.301,15.766,15.45,16.5938,16.25,8.0313,6.25,4773,606.37,537.31,20570.26,10593.82,18.52,4836.22,1.364,8.3202,105.59
1/18/1996,0,7.9688,8.0625,8.0625,7.9375,2733608,0.125,0.1875,7.2467,7.4981,7.3334,7.6328,7.5646,7.7406,7.8438,7.426,7.5172,7.3086,16.822,15.543,16.4688,16.4375,8.1875,6.3125,4798.12,608.24,517.63,20370.04,10536.49,19.18,4833.85,1.364,8.3191,105.63
1/19/1996,0,8.0313,8,8.0625,7.9688,7443180,-0.0625,0.0625,7.2531,7.5119,7.3397,7.6609,7.5813,7.7719,7.9125,7.4443,7.5305,7.3156,18.09,15.562,16.6875,16.375,8.1875,6.3438,4821.06,611.83,523.51,20365.76,10764.09,18.94,4909.03,1.367,8.3178,105.36
1/20/1996,0,8.0313,8,8.0625,7.9688,7443180,-0.0625,0.0625,7.2531,7.5119,7.3397,7.6609,7.5813,7.7719,7.9125,7.4443,7.5305,7.3156,18.09,15.562,16.6875,16.375,8.1875,6.3438,4821.06,611.83,523.51,20365.76,10764.09,18.94,4909.03,1.367,8.3178,105.36
1/21/1996,0,8.0313,8,8.0625,7.9688,7443180,-0.0625,0.0625,7.2531,7.5119,7.3397,7.6609,7.5813,7.7719,7.9125,7.4443,7.5305,7.3156,18.09,15.562,16.6875,16.375,8.1875,6.3438,4821.06,611.83,523.51,20365.76,10764.09,18.94,4909.03,1.367,8.3178,105.36
1/22/1996,0,7.9688,7.9063,8,7.9063,5749448,-0.09375,-0.1563,7.2591,7.5231,7.3444,7.6844,7.5938,7.7938,7.9563,7.463,7.5422,7.3219,18.992,15.629,16.75,16.1875,8.0313,6.2813,4848.98,613.4,516.46,20196.53,10955.33,18.62,4893.81,1.3686,8.3174,105.78
1/23/1996,0,7.875,7.8125,7.9063,7.8125,3228192,-0.09375,-0.1875,7.2647,7.5325,7.3491,7.7016,7.6031,7.8125,7.9438,7.4807,7.5516,7.3281,19.852,15.697,16.7813,16.125,7.9375,6.2813,4847.62,612.79,519.6,20080.92,10957.22,18.06,4985.2,1.3675,8.317,105.97
1/24/1996,0,7.8438,7.875,7.9063,7.8125,3198828,0.0625,-0.0313,7.2706,7.5425,7.3547,7.7203,7.6156,7.8438,7.9313,7.4974,7.5633,7.3341,19.833,15.688,16.75,16.3125,8.0625,6.3125,4864.14,619.96,522.63,20312.74,10960.21,18.28,4945.25,1.3723,8.3163,107.08
1/25/1996,1,7.9063,7.8125,7.9063,7.8125,1938568,-0.0625,0,7.2763,7.5506,7.3597,7.7328,7.626,7.8625,7.8813,7.5115,7.5758,7.3398,20.77,15.69,16.75,16.25,8,6.2813,4870.48,617.03,521.37,20414.69,11103.08,17.67,4945.25,1.379,8.3167,107.1
1/26/1996,0,7.8125,7.875,7.9375,7.75,1874260,0.0625,0,7.2819,7.5581,7.3653,7.7516,7.6438,7.8844,7.8563,7.5224,7.5906,7.3458,20.986,15.583,16.75,16.4375,8.0938,6.375,4901.18,621.62,525.57,20663.84,11111.87,17.73,4907.71,1.3815,8.3157,106.6
1/27/1996,0,7.8125,7.875,7.9375,7.75,1874260,0.0625,0,7.2819,7.5581,7.3653,7.7516,7.6438,7.8844,7.8563,7.5224,7.5906,7.3458,20.986,15.583,16.75,16.4375,8.0938,6.375,4901.18,621.62,525.57,20663.84,11111.87,17.73,4907.71,1.3815,8.3157,106.6
1/28/1996,0,7.8125,7.875,7.9375,7.75,1874260,0.0625,0,7.2819,7.5581,7.3653,7.7516,7.6438,7.8844,7.8563,7.5224,7.5906,7.3458,20.986,15.583,16.75,16.4375,8.0938,6.375,4901.18,621.62,525.57,20663.84,11111.87,17.73,4907.71,1.3815,8.3157,106.6
1/29/1996,0,7.875,7.9375,7.9375,7.875,1899092,0.0625,0.125,7.2875,7.5675,7.3706,7.775,7.6625,7.9094,7.8625,7.5349,7.6086,7.3523,17.05,15.599,17.125,16.5625,8.2188,6.3438,4949.21,624.22,529.14,20589.2,11058.97,17.45,4934.81,1.375,8.315,106.7
1/30/1996,0,7.9375,8,8.0313,7.9375,4451996,0.0625,0.125,7.2928,7.5781,7.3769,7.7969,7.6833,7.9219,7.9,7.5469,7.6273,7.3591,17.042,15.609,17.25,16.6875,8.3125,6.375,4987.87,630.15,532.57,20722.44,11201.46,17.56,5133.5,1.3775,8.3147,107.36
1/31/1996,0,7.9688,7.875,7.9688,7.8438,3781488,-0.125,-0.0625,7.2973,7.5856,7.3828,7.8094,7.701,7.9156,7.9,7.5557,7.6398,7.3651,16.55,15.637,17.4688,16.625,8.2813,6.2813,4968.43,636.02,537.35,20812.74,11359.7,17.74,5151.54,1.3742,8.3138,107.05
02/01/1996,0,7.9063,7.9375,8,7.875,7938052,0.0625,-0.0625,7.3023,7.5944,7.3897,7.8219,7.7229,7.9031,7.925,7.5656,7.6492,7.3714,17.097,15.647,17.1875,16.75,8.3438,6.2813,5011.08,638.46,536.68,20935.12,11362.8,17.71,5269.38,1.373,8.3132,106.74
02/02/1996,0,7.9375,7.8438,7.9375,7.8125,3677376,-0.09375,-0.0313,7.3073,7.6019,7.3966,7.8297,7.7365,7.8875,7.9188,7.5745,7.6578,7.3771,17.116,15.702,17.1875,16.5,8.2188,6.125,5031.97,635.84,536.04,20904.03,11469.4,17.8,5410.91,1.3759,8.3127,106.38
02/03/1996,0,7.9375,7.8438,7.9375,7.8125,3677376,-0.09375,-0.0313,7.3073,7.6019,7.3966,7.8297,7.7365,7.8875,7.9188,7.5745,7.6578,7.3771,17.116,15.702,17.1875,16.5,8.2188,6.125,5031.97,635.84,536.04,20904.03,11469.4,17.8,5410.91,1.3759,8.3127,106.38
02/04/1996,0,7.9375,7.8438,7.9375,7.8125,3677376,-0.09375,-0.0313,7.3073,7.6019,7.3966,7.8297,7.7365,7.8875,7.9188,7.5745,7.6578,7.3771,17.116,15.702,17.1875,16.5,8.2188,6.125,5031.97,635.84,536.04,20904.03,11469.4,17.8,5410.91,1.3759,8.3127,106.38
02/05/1996,0,7.8125,7.7813,7.8125,7.6875,4200900,-0.0625,-0.1563,7.3122,7.6088,7.4034,7.8344,7.7479,7.875,7.8875,7.5818,7.6641,7.382,16.408,15.704,17.2813,16.5,8.125,6.1563,5033.32,641.43,522.85,20653.38,11484.12,17.54,5332.95,1.3782,8.3131,105.21
02/06/1996,0,7.8125,7.8438,7.8438,7.7188,5683904,0.0625,0,7.3175,7.6169,7.4119,7.8453,7.7604,7.8781,7.8563,7.5901,7.6719,7.3875,16.413,15.726,17.375,16.25,8.0938,6.125,5049.47,646.33,520.69,20751.15,11391.38,17.69,5354.09,1.372,8.312,105.1
02/07/1996,0,7.8125,7.7813,7.8125,7.7188,4252704,-0.0625,0,7.3222,7.6244,7.4203,7.8563,7.7698,7.8688,7.8375,7.5969,7.6789,7.3922,16.418,15.629,17.625,16.1875,8.1875,6.0625,5026.5,649.93,524.3,20943.49,11388.59,17.74,5283.01,1.3665,8.3111,106.13
02/08/1996,0,7.7813,7.7813,7.8125,7.75,1352260,0,-0.0625,7.3269,7.6338,7.4291,7.8641,7.7771,7.8656,7.8063,7.6031,7.6859,7.3969,15.631,15.59,18.375,16.1875,8.1563,6.0625,5040.52,656.07,521.86,21118.3,11331.77,17.76,5322.63,1.3725,8.31,107.13
02/09/1996,0,7.7813,7.75,7.8125,7.75,1670472,-0.03125,-0.0313,7.3308,7.6431,7.4369,7.8688,7.7854,7.8531,7.7875,7.6073,7.6961,7.4016,14.622,15.599,18.375,16.0625,8.1563,6.0625,5037.93,656.37,525.41,20934.82,11310.28,17.78,5305.41,1.3705,8.3094,107.05
02/10/1996,0,7.7813,7.75,7.8125,7.75,1670472,-0.03125,-0.0313,7.3308,7.6431,7.4369,7.8688,7.7854,7.8531,7.7875,7.6073,7.6961,7.4016,14.622,15.599,18.375,16.0625,8.1563,6.0625,5037.93,656.37,525.41,20934.82,11310.28,17.78,5305.41,1.3705,8.3094,107.05
02/11/1996,0,7.7813,7.75,7.8125,7.75,1670472,-0.03125,-0.0313,7.3308,7.6431,7.4369,7.8688,7.7854,7.8531,7.7875,7.6073,7.6961,7.4016,14.622,15.599,18.375,16.0625,8.1563,6.0625,5037.93,656.37,525.41,20934.82,11310.28,17.78,5305.41,1.3705,8.3094,107.05
02/12/1996,0,7.75,7.8125,7.8438,7.75,718388,0.0625,0.0313,7.3353,7.655,7.4444,7.875,7.7969,7.8406,7.7938,7.613,7.707,7.407,14.667,15.622,18.4063,16.125,8.2188,6.2188,5049.87,661.45,525.77,20934.82,11256.59,17.97,5338.96,1.3716,8.3092,106.86
2/13/1996,0,7.8125,7.8125,7.8438,7.75,1301524,0,0.0625,7.3398,7.6663,7.4519,7.8719,7.8052,7.8219,7.7875,7.6188,7.718,7.412,12.35,15.582,18.4688,16.0625,8.25,6.25,5045.31,660.51,529.58,20784.23,11200.19,18.91,5385.56,1.3728,8.3104,106.75
2/14/1996,0,7.7813,7.7813,7.8438,7.75,1185472,-0.03125,-0.0313,7.3442,7.6744,7.4588,7.8641,7.8104,7.8125,7.7875,7.6234,7.7289,7.4156,11.201,15.58,18.2813,15.9375,8.1563,6.2188,5059.69,655.58,529.25,20943.59,11364.46,18.96,5330.81,1.3805,8.31,106.19
2/15/1996,0,7.7813,7.7188,7.8125,7.7188,2676720,-0.0625,-0.0938,7.3486,7.6775,7.4653,7.8469,7.8115,7.7906,7.775,7.6271,7.7398,7.419,10.28,15.605,18.5,15.875,8,6.2188,5026.09,651.32,536.98,20886.19,11471.81,19.04,5273.71,1.3807,8.3112,105.63
2/16/1996,0,7.7188,7.6875,7.75,7.6875,1892352,-0.03125,-0.0938,7.353,7.6813,7.4713,7.8313,7.8115,7.775,7.7625,7.6307,7.7461,7.4216,9.707,15.584,18.3125,15.875,8,6.125,5044.6,647.98,552.94,20802.77,11594.99,19.16,5172.99,1.381,8.3136,105.24
2/17/1996,1,7.7188,7.6875,7.75,7.6875,1892352,-0.03125,-0.0938,7.353,7.6813,7.4713,7.8313,7.8115,7.775,7.7625,7.6307,7.7461,7.4216,9.707,15.584,18.3125,15.875,8,6.125,5044.6,647.98,552.94,20802.77,11594.99,19.16,5172.99,1.381,8.3136,105.24
2/18/1996,0,7.7188,7.6875,7.75,7.6875,1892352,-0.03125,-0.0938,7.353,7.6813,7.4713,7.8313,7.8115,7.775,7.7625,7.6307,7.7461,7.4216,9.707,15.584,18.3125,15.875,8,6.125,5044.6,647.98,552.94,20802.77,11594.99,19.16,5172.99,1.381,8.3136,105.24
2/19/1996,1,7.6875,7.5625,7.6875,7.5313,3201580,-0.125,-0.1563,7.3566,7.6819,7.4756,7.8141,7.8073,7.7531,7.7125,7.6328,7.7492,7.4227,10.86,15.574,18.3125,15.5625,7.875,5.9688,5026.37,647.98,552.94,20721.25,11594.99,19.16,5172.99,1.3852,8.3152,104.12
2/20/1996,1,7.5,7.4375,7.5625,7.4063,5155600,-0.125,-0.25,7.3592,7.68,7.4791,7.7953,7.801,7.7125,7.6375,7.6328,7.7484,7.4234,12.722,15.665,18,15.25,7.6875,5.9063,4963.8,640.65,552.94,20655.67,11594.99,21.05,5172.99,1.3812,8.3152,105.86
2/21/1996,1,7.4688,7.5313,7.5625,7.4375,5565384,0.09375,-0.0313,7.3617,7.6806,7.4831,7.7781,7.8,7.6875,7.5875,7.6349,7.7492,7.4253,15.75,15.721,18.4063,15.3125,7.7188,5.9375,4961.13,648.1,552.94,20372.23,11594.99,19.71,5172.99,1.3765,8.3152,104.95
2/22/1996,1,7.5625,7.6563,7.6875,7.5625,1722388,0.125,0.2188,7.3645,7.6838,7.4891,7.7703,7.801,7.675,7.575,7.6406,7.7516,7.4281,19.079,15.821,18.5938,15.5625,7.8125,6,4980.87,658.86,552.94,20340.94,11338.45,19.85,5237.72,1.3745,8.3152,104.97
2/23/1996,1,7.7188,7.625,7.7813,7.5938,1219312,-0.03125,0.0938,7.367,7.6894,7.4953,7.7578,7.8,7.6625,7.5625,7.6464,7.7547,7.4307,18.235,15.819,18.6563,15.5,7.75,5.9688,4962.89,659.08,552.94,20300.38,11390.41,19.06,5274.35,1.376,8.3152,104.91
2/24/1996,1,7.7188,7.625,7.7813,7.5938,1219312,-0.03125,0.0938,7.367,7.6894,7.4953,7.7578,7.8,7.6625,7.5625,7.6464,7.7547,7.4307,18.235,15.819,18.6563,15.5,7.75,5.9688,4962.89,659.08,552.94,20300.38,11390.41,19.06,5274.35,1.376,8.3152,104.91
2/25/1996,1,7.7188,7.625,7.7813,7.5938,1219312,-0.03125,0.0938,7.367,7.6894,7.4953,7.7578,7.8,7.6625,7.5625,7.6464,7.7547,7.4307,18.235,15.819,18.6563,15.5,7.75,5.9688,4962.89,659.08,552.94,20300.38,11390.41,19.06,5274.35,1.376,8.3152,104.91
2/26/1996,1,7.625,7.5938,7.6563,7.5938,604492,-0.03125,-0.0625,7.3695,7.6938,7.4988,7.7406,7.7969,7.6406,7.5688,7.6526,7.7578,7.4323,18.171,15.821,18.9063,15.5,7.7813,5.875,4957.12,650.46,552.94,20480.27,11210.42,19.39,5245.24,1.3743,8.3169,104.35
